"trip_distance","fare_amount","total_amount","trip_timelength","intratrip","weekday"
3.05,13.5,19.12,16.9833333333333,"no","viernes"
2,10.5,13.57,12.4666666666667,"no","miércoles"
5.1,20.5,26.15,23.1666666666667,"yes","sábado"
1.2,8.5,12.3,16.4,"no","miércoles"
2.9,13,16.3,15.2666666666667,"no","miércoles"
9.4,29.5,35.8,25.25,"yes","miércoles"
2.87,13,17.76,15.8833333333333,"no","martes"
1.41,14.5,17.93,23.6,"no","viernes"
2.22,13,17.16,17.35,"no","sábado"
10.7,34,48.99,31.3166666666667,"yes","sábado"
15.6,45,53,35.1166666666667,"no","martes"
1.8,9,12.3,10.2,"no","martes"
1.4,7.5,9.8,7.9,"no","miércoles"
2.22,10,14.38,9.01666666666667,"no","lunes"
2,8.5,11.76,7.4,"no","lunes"
0.9,9,12.35,11.9166666666667,"no","viernes"
0.9,5.5,8.15,5.11666666666667,"no","jueves"
0.99,6,9.36,5.41666666666667,"no","viernes"
1.11,8,11.76,10.3666666666667,"no","jueves"
2.39,9.5,12.96,8.56666666666667,"no","martes"
5.2,21.5,27.35,28.6666666666667,"yes","jueves"
1.31,9,12.3,11.95,"no","viernes"
2.45,10.5,14.16,11.3166666666667,"no","miércoles"
5.25,17.5,23.16,15.5166666666667,"no","viernes"
14.5,42,59.46,44.8166666666667,"yes","jueves"
0.91,7.5,11.16,8.71666666666667,"no","viernes"
1.1,6.5,9.3,6.55,"no","viernes"
4.05,16,20.76,19,"no","viernes"
3.7,13,17.15,8.63333333333333,"no","viernes"
1.37,9,12.36,13.85,"no","jueves"
1.3,6.5,8.8,6.81666666666667,"no","martes"
2.42,11.5,15.3,15.0666666666667,"no","jueves"
1.83,9,12.96,10.7,"no","jueves"
4.1,16,20.75,18.9166666666667,"no","miércoles"
1.76,15.5,20.76,26,"no","jueves"
1.3,7.5,11.15,8.35,"no","viernes"
3.9,13.5,18.5,11.3333333333333,"no","martes"
3.18,12,15.96,11.5333333333333,"no","domingo"
1.1,6.5,9.95,6.86666666666667,"no","lunes"
3.67,13.5,17.9,15.4,"no","martes"
2.73,16,21.36,23.2,"no","lunes"
0.74,5.5,8.76,5.86666666666667,"no","martes"
0.97,7,10.56,7.9,"no","miércoles"
3.8,14.5,18.96,14.8833333333333,"no","miércoles"
1.7,9.5,13.55,10.9,"no","martes"
3.07,14,18.55,16.2833333333333,"no","viernes"
2.2,12,16.55,17.4,"no","jueves"
1.83,11,14.76,14.5166666666667,"no","domingo"
1.4,8.5,11.75,10.2,"no","jueves"
2.7,13,17.15,17.6666666666667,"no","viernes"
2,15.5,20.76,24.15,"no","viernes"
1.75,9,12.96,10.6833333333333,"no","martes"
2.66,18,24.12,29.15,"no","viernes"
2.7,11,14.8,10.6166666666667,"no","sábado"
1.28,8,11.16,9.93333333333333,"no","martes"
0.9,8,11.15,10.0666666666667,"no","viernes"
4.8,16,20.75,12.8,"no","viernes"
9.29,28,38.87,6.32972222222222,"yes","jueves"
1.86,10,13.56,11.9333333333333,"no","sábado"
10.5,30.5,38.75,28.2333333333333,"yes","martes"
6,19.5,22.8,17.3333333333333,"no","sábado"
3.7,14.5,18.95,15.8333333333333,"no","jueves"
1.41,6.5,9.36,5.33333333333333,"no","martes"
2.6,9.5,13.5,8,"no","lunes"
3.63,18,23.16,25.8833333333333,"no","sábado"
11.42,33.5,44.34,26.8666666666667,"yes","martes"
2.4,10.5,13.3,11.7,"no","miércoles"
10.16,32.5,47.47,32.7333333333333,"yes","jueves"
1.64,8,11.16,8.61666666666667,"no","miércoles"
1.48,8,11.16,8.53333333333333,"no","sábado"
1.2,9,12.36,12.9833333333333,"no","sábado"
5.7,20.5,24.8,22.0333333333333,"yes","sábado"
0.9,9.5,13.56,14.7,"no","miércoles"
1.3,7,9.95,7.21666666666667,"no","viernes"
10.48,37,45.96,40.55,"yes","sábado"
5,19,24.35,24.6333333333333,"yes","martes"
3.4,15,19.56,19,"no","miércoles"
1.1,7,9.95,7.36666666666667,"no","miércoles"
1.5,7,9.95,7.01666666666667,"no","miércoles"
8.9,37,53.46,53.7833333333333,"yes","jueves"
0.75,9.5,14.12,14.0166666666667,"no","miércoles"
3.59,17,22.56,23.3,"no","miércoles"
1.2,7.5,11,8.5,"no","lunes"
3.6,16.5,21.35,20.55,"yes","sábado"
1.14,8,11.16,10.65,"no","jueves"
1.1,6.5,8.97,7.6,"no","jueves"
11.1,42,55.8,56.4333333333333,"yes","miércoles"
1.65,10.5,14.75,14.8,"no","sábado"
1.28,7.5,10.8,8.65,"no","jueves"
2.5,14.5,17.8,21.0166666666667,"no","sábado"
1.89,9,11.8,10.2,"no","jueves"
3.4,12.5,16.55,13.3833333333333,"no","viernes"
1.9,10.5,14.3,13.7333333333333,"no","martes"
4.91,17.5,22.56,17.6666666666667,"no","jueves"
1.67,15.5,20.16,25.1,"no","viernes"
7.17,25,32.16,31.6666666666667,"no","miércoles"
2.61,11,15.38,12.05,"no","lunes"
3.8,14,18.35,14.9333333333333,"no","sábado"
0.6,6,8.3,6.75,"no","sábado"
1.6,11,14.5,15,"no","viernes"
0.59,5.5,8.76,5.55,"no","martes"
2.32,10,13.8,11.5833333333333,"no","miércoles"
1.4,8.5,12.3,11.6666666666667,"no","viernes"
8.2,27.5,36.6,30.2333333333333,"no","lunes"
2.35,14,19.75,21.45,"no","miércoles"
2.12,10.5,14.16,13.0666666666667,"no","viernes"
5.7,19.5,24.95,18.3333333333333,"no","viernes"
4.3,15.5,19.3,15.3166666666667,"no","viernes"
1.64,7,10.56,6.56666666666667,"no","miércoles"
1.6,10,13.55,14.0833333333333,"no","martes"
0.92,6,8.76,6.65,"no","lunes"
2.09,12,15.96,17.1666666666667,"no","jueves"
3.96,13,17.16,11.5166666666667,"no","domingo"
2,11.5,15.35,15.0333333333333,"no","miércoles"
1,8,11.15,9.9,"no","viernes"
4.1,20,25.56,27.8,"no","miércoles"
1.53,7.5,10.56,7.91666666666667,"no","jueves"
0.91,5.5,8,5.1,"no","jueves"
3.07,10.5,14.16,8.31666666666667,"no","lunes"
0.92,6.5,9.36,7.3,"no","viernes"
